reg_date,temperature
"2023-06-01 13:47:15",27.38
"2023-06-01 13:47:18",27.38
"2023-06-01 13:47:24",27.38
"2023-06-01 13:47:27",27.38
"2023-06-01 13:47:33",27.39
"2023-06-01 13:47:39",27.38
"2023-06-01 13:47:42",27.38
"2023-06-01 13:47:48",27.38
"2023-06-01 13:47:54",27.38
"2023-06-01 13:47:57",27.38
"2023-06-01 13:48:03",27.38
"2023-06-01 13:48:09",27.38
"2023-06-01 13:48:12",27.38
"2023-06-01 13:48:18",27.38
"2023-06-01 13:48:24",27.38
"2023-06-01 13:48:27",27.38
"2023-06-01 13:48:33",27.39
"2023-06-01 13:48:36",27.39
"2023-06-01 13:48:42",27.38
"2023-06-01 13:48:48",27.39
"2023-06-01 13:48:51",27.38
"2023-06-01 13:48:57",27.39
"2023-06-01 13:49:03",27.38
"2023-06-01 13:49:06",27.38
"2023-06-01 13:49:12",27.38
"2023-06-01 13:49:18",27.38
"2023-06-01 13:49:24",27.39
"2023-06-01 13:49:33",27.39
"2023-06-01 13:49:36",27.39
"2023-06-01 13:49:42",27.38
"2023-06-01 13:49:48",27.39
"2023-06-01 13:49:51",27.39
"2023-06-01 13:49:57",27.38
"2023-06-01 13:50:03",27.38
"2023-06-01 13:50:06",27.39
"2023-06-01 13:50:12",27.38
"2023-06-01 13:50:18",27.39
"2023-06-01 13:50:21",27.39
"2023-06-01 13:50:27",27.39
"2023-06-01 13:50:33",27.38
"2023-06-01 13:50:36",27.39
"2023-06-01 13:50:43",27.39
"2023-06-01 13:50:49",27.39
"2023-06-01 13:50:52",27.39
"2023-06-01 13:50:58",27.39
"2023-06-01 13:51:04",27.39
"2023-06-01 13:51:07",27.39
"2023-06-01 13:51:13",27.39
"2023-06-01 13:51:19",27.39
"2023-06-01 13:51:22",27.39
"2023-06-01 13:51:28",27.39
"2023-06-01 13:51:34",27.39
"2023-06-01 13:51:37",27.39
"2023-06-01 13:51:43",27.39
"2023-06-01 13:51:49",27.39
"2023-06-01 13:51:52",27.39
"2023-06-01 13:51:58",27.39
"2023-06-01 13:52:04",27.39
"2023-06-01 13:52:07",27.39
"2023-06-01 13:52:13",27.39
"2023-06-01 13:52:19",27.39
"2023-06-01 13:52:22",27.39
"2023-06-01 13:52:28",27.39
"2023-06-01 13:52:34",27.39
"2023-06-01 13:52:37",27.39
"2023-06-01 13:52:43",27.39
"2023-06-01 13:52:49",27.39
"2023-06-01 13:52:52",27.39
"2023-06-01 13:52:58",27.39
"2023-06-01 13:53:04",27.39
"2023-06-01 13:53:07",27.39
"2023-06-01 13:53:13",27.39
"2023-06-01 13:53:19",27.39
"2023-06-01 13:53:22",27.39
"2023-06-01 13:53:28",27.39
"2023-06-01 13:53:34",27.39
"2023-06-01 13:53:37",27.39
"2023-06-01 13:53:43",27.39
"2023-06-01 13:53:49",27.39
"2023-06-01 13:53:52",27.39
"2023-06-01 13:53:58",27.39
"2023-06-01 13:54:04",27.39
"2023-06-01 13:54:07",27.39
"2023-06-01 13:54:13",27.39
"2023-06-01 13:54:19",27.39
"2023-06-01 13:54:22",27.39
"2023-06-01 13:54:28",27.39
"2023-06-01 13:54:34",27.39
"2023-06-01 13:54:37",27.39
"2023-06-01 13:54:43",27.39
"2023-06-01 13:54:49",27.39
"2023-06-01 13:54:52",27.39
"2023-06-01 13:54:58",27.39
"2023-06-01 13:55:01",27.39
"2023-06-01 13:55:07",27.39
"2023-06-01 13:55:13",27.39
"2023-06-01 13:55:16",27.39
"2023-06-01 13:55:22",27.39
"2023-06-01 13:55:28",27.39
"2023-06-01 13:55:31",27.39
"2023-06-01 13:55:37",27.39
"2023-06-01 13:55:43",27.39
"2023-06-01 13:55:46",27.39
"2023-06-01 13:55:52",27.39
"2023-06-01 13:55:58",27.39
"2023-06-01 13:56:01",27.39
"2023-06-01 13:56:13",27.39
"2023-06-01 13:56:16",27.39
"2023-06-01 13:56:22",27.39
"2023-06-01 13:56:28",27.39
"2023-06-01 13:56:31",27.39
"2023-06-01 13:56:37",27.39
"2023-06-01 13:56:44",27.39
"2023-06-01 13:56:47",27.39
"2023-06-01 13:56:53",27.39
"2023-06-01 13:56:59",27.39
"2023-06-01 13:57:02",27.39
"2023-06-01 13:57:08",27.38
"2023-06-01 13:57:14",27.38
"2023-06-01 13:57:17",27.39
"2023-06-01 13:57:23",27.39
"2023-06-01 13:57:29",27.39
"2023-06-01 13:57:32",27.39
"2023-06-01 13:57:38",27.38
"2023-06-01 13:57:44",27.38
"2023-06-01 13:57:47",27.39
"2023-06-01 13:57:53",27.39
"2023-06-01 13:57:59",27.39
"2023-06-01 13:58:02",27.39
"2023-06-01 13:58:08",27.39
"2023-06-01 13:58:14",27.39
"2023-06-01 13:58:17",27.39
"2023-06-01 13:58:23",27.38
"2023-06-01 13:58:29",27.39
"2023-06-01 13:58:32",27.39
"2023-06-01 13:58:38",27.39
"2023-06-01 13:58:44",27.38
"2023-06-01 13:58:53",27.38
"2023-06-01 13:58:59",27.38
"2023-06-01 13:59:02",27.39
"2023-06-01 13:59:08",27.38
"2023-06-01 13:59:14",27.39
"2023-06-01 13:59:17",27.38
"2023-06-01 13:59:23",27.39
"2023-06-01 13:59:29",27.39
"2023-06-01 13:59:32",27.38
"2023-06-01 13:59:38",27.38
"2023-06-01 13:59:44",27.38
"2023-06-01 13:59:47",27.38
"2023-06-01 13:59:53",27.38
"2023-06-01 13:59:59",27.38
"2023-06-01 14:00:02",27.38
"2023-06-01 14:00:08",27.38
"2023-06-01 14:00:14",27.38
"2023-06-01 14:00:17",27.38
"2023-06-01 14:00:23",27.38
"2023-06-01 14:00:29",27.38
"2023-06-01 14:00:32",27.38
"2023-06-01 14:00:38",27.38
"2023-06-01 14:00:44",27.38
"2023-06-01 14:00:47",27.38
"2023-06-01 14:00:53",27.38
"2023-06-01 14:00:59",27.38
"2023-06-01 14:01:02",27.38
"2023-06-01 14:01:08",27.38
"2023-06-01 14:01:14",27.38
"2023-06-01 14:01:17",27.38
"2023-06-01 14:01:23",27.39
"2023-06-01 14:01:29",27.38
"2023-06-01 14:01:32",27.38
"2023-06-01 14:01:38",27.38
"2023-06-01 14:01:41",27.38
"2023-06-01 14:01:47",27.38
"2023-06-01 14:01:53",27.38
"2023-06-01 14:01:56",27.37
"2023-06-01 14:02:02",27.38
"2023-06-01 14:02:08",27.38
"2023-06-01 14:02:11",27.38
"2023-06-01 14:02:17",27.39
"2023-06-01 14:02:23",27.38
"2023-06-01 14:02:26",27.38
"2023-06-01 14:02:32",27.37
"2023-06-01 14:02:38",27.38
"2023-06-01 14:02:41",27.38
"2023-06-01 14:02:47",27.38
"2023-06-01 14:02:53",27.38
"2023-06-01 14:02:56",27.38
"2023-06-01 14:03:02",27.37
"2023-06-01 14:03:08",27.38
"2023-06-01 14:03:11",27.38
"2023-06-01 14:03:17",27.38
"2023-06-01 14:03:23",27.38
"2023-06-01 14:03:30",27.38
"2023-06-01 14:03:33",27.38
"2023-06-01 14:03:39",27.38
"2023-06-01 14:03:42",27.38
"2023-06-01 14:03:48",27.38
"2023-06-01 14:03:54",27.37
"2023-06-01 14:03:57",27.37
"2023-06-01 14:04:03",27.37
"2023-06-01 14:04:09",27.37
"2023-06-01 14:04:12",27.37
"2023-06-01 14:04:18",27.37
"2023-06-01 14:04:24",27.38
"2023-06-01 14:04:27",27.38
"2023-06-01 14:04:33",27.38
"2023-06-01 14:04:39",27.38
"2023-06-01 14:04:42",27.38
"2023-06-01 14:04:48",27.37
"2023-06-01 14:04:54",27.37
"2023-06-01 14:04:57",27.37
"2023-06-01 14:05:03",27.37
"2023-06-01 14:05:09",27.37
"2023-06-01 14:05:12",27.37
"2023-06-01 14:05:18",27.37
"2023-06-01 14:05:24",27.37
"2023-06-01 14:05:27",27.37
"2023-06-01 14:05:33",27.37
"2023-06-01 14:05:39",27.37
"2023-06-01 14:05:42",27.37
"2023-06-01 14:05:48",27.37
"2023-06-01 14:05:54",27.38
"2023-06-01 14:05:57",27.37
"2023-06-01 14:06:03",27.37
"2023-06-01 14:06:09",27.37
"2023-06-01 14:06:12",27.37
"2023-06-01 14:06:18",27.37
"2023-06-01 14:06:24",27.37
"2023-06-01 14:06:27",27.37
"2023-06-01 14:06:33",27.36
"2023-06-01 14:06:39",27.37
"2023-06-01 14:06:42",27.37
"2023-06-01 14:06:48",27.37
"2023-06-01 14:06:54",27.36
"2023-06-01 14:06:57",27.37
"2023-06-01 14:07:03",27.37
"2023-06-01 14:07:09",27.37
"2023-06-01 14:07:12",27.37
"2023-06-01 14:07:18",27.37
"2023-06-01 14:07:24",27.37
"2023-06-01 14:07:27",27.37
"2023-06-01 14:07:33",27.37
"2023-06-01 14:07:39",27.37
"2023-06-01 14:07:42",27.37
"2023-06-01 14:07:48",27.37
"2023-06-01 14:07:54",27.36
"2023-06-01 14:07:57",27.37
"2023-06-01 14:08:03",27.37
"2023-06-01 14:08:09",27.37
"2023-06-01 14:08:12",27.37
"2023-06-01 14:08:18",27.37
"2023-06-01 14:08:24",27.37
"2023-06-01 14:08:27",27.37
"2023-06-01 14:08:33",27.37
"2023-06-01 14:08:42",27.37
"2023-06-01 14:08:48",27.37
"2023-06-01 14:08:54",27.36
"2023-06-01 14:08:57",27.36
"2023-06-01 14:09:03",27.36
"2023-06-01 14:09:06",27.36
"2023-06-01 14:09:12",27.36
"2023-06-01 14:09:18",27.36
"2023-06-01 14:09:24",27.36
"2023-06-01 14:09:27",27.37
"2023-06-01 14:09:33",27.36
"2023-06-01 14:09:36",27.36
"2023-06-01 14:09:42",27.36
"2023-06-01 14:09:48",27.36
"2023-06-01 14:09:51",27.36
"2023-06-01 14:09:57",27.36
"2023-06-01 14:10:03",27.36
"2023-06-01 14:10:06",27.36
"2023-06-01 14:10:12",27.36
"2023-06-01 14:10:18",27.36
"2023-06-01 14:10:21",27.36
"2023-06-01 14:10:27",27.36
"2023-06-01 14:10:33",27.36
"2023-06-01 14:10:36",27.36
"2023-06-01 14:10:42",27.36
"2023-06-01 14:10:48",27.36
"2023-06-01 14:10:51",27.36
"2023-06-01 14:10:57",27.36
"2023-06-01 14:11:03",27.36
"2023-06-01 14:11:06",27.36
"2023-06-01 14:11:12",27.36
"2023-06-01 14:11:18",27.36
"2023-06-01 14:11:21",27.36
"2023-06-01 14:11:33",27.36
"2023-06-01 14:11:37",27.36
"2023-06-01 14:11:43",27.35
"2023-06-01 14:11:49",27.36
"2023-06-01 14:11:52",27.35
"2023-06-01 14:11:58",27.36
"2023-06-01 14:12:04",27.36
"2023-06-01 14:12:07",27.36
"2023-06-01 14:12:13",27.36
"2023-06-01 14:12:19",27.36
"2023-06-01 14:12:22",27.36
"2023-06-01 14:12:28",27.36
"2023-06-01 14:12:34",27.36
"2023-06-01 14:12:37",27.35
"2023-06-01 14:12:43",27.35
"2023-06-01 14:12:49",27.35
"2023-06-01 14:12:52",27.35
"2023-06-01 14:12:58",27.36
"2023-06-01 14:13:04",27.36
"2023-06-01 14:13:07",27.35
"2023-06-01 14:13:13",27.36
"2023-06-01 14:13:19",27.36
"2023-06-01 14:13:22",27.35
"2023-06-01 14:13:28",27.35
"2023-06-01 14:13:34",27.35
"2023-06-01 14:13:37",27.35
"2023-06-01 14:13:43",27.35
"2023-06-01 14:13:49",27.35
"2023-06-01 14:13:52",27.35
"2023-06-01 14:13:58",27.36
"2023-06-01 14:14:04",27.35
"2023-06-01 14:14:07",27.36
"2023-06-01 14:14:13",27.35
"2023-06-01 14:14:19",27.35
"2023-06-01 14:14:22",27.35
"2023-06-01 14:14:28",27.35
"2023-06-01 14:14:34",27.35
"2023-06-01 14:14:37",27.35
"2023-06-01 14:14:43",27.35
"2023-06-01 14:14:49",27.35
"2023-06-01 14:14:52",27.35
"2023-06-01 14:14:58",27.35
"2023-06-01 14:15:04",27.35
"2023-06-01 14:15:07",27.35
"2023-06-01 14:15:13",27.35
"2023-06-01 14:15:19",27.35
"2023-06-01 14:15:22",27.35
"2023-06-01 14:15:28",27.35
"2023-06-01 14:15:34",27.35
"2023-06-01 14:15:37",27.35
"2023-06-01 14:15:43",27.35
"2023-06-01 14:15:49",27.35
"2023-06-01 14:15:52",27.35
"2023-06-01 14:15:58",27.35
"2023-06-01 14:16:04",27.35
"2023-06-01 14:16:07",27.35
"2023-06-01 14:16:13",27.35
"2023-06-01 14:16:19",27.35
"2023-06-01 14:16:22",27.35
"2023-06-01 14:16:28",27.35
"2023-06-01 14:16:34",27.35
"2023-06-01 14:16:37",27.35
"2023-06-01 14:16:43",27.35
"2023-06-01 14:16:49",27.35
"2023-06-01 14:16:52",27.35
"2023-06-01 14:16:58",27.35
"2023-06-01 14:17:04",27.35
"2023-06-01 14:17:07",27.35
"2023-06-01 14:17:13",27.35
"2023-06-01 14:17:19",27.35
"2023-06-01 14:17:22",27.35
"2023-06-01 14:17:28",27.35
"2023-06-01 14:17:34",27.35
"2023-06-01 14:17:37",27.35
"2023-06-01 14:17:43",27.35
"2023-06-01 14:17:52",27.35
"2023-06-01 14:17:58",27.35
"2023-06-01 14:18:04",27.35
"2023-06-01 14:18:07",27.35
"2023-06-01 14:18:13",27.35
"2023-06-01 14:18:19",27.35
"2023-06-01 14:18:22",27.35
"2023-06-01 14:18:28",27.35
"2023-06-01 14:18:31",27.35
"2023-06-01 14:18:37",27.35
"2023-06-01 14:18:43",27.35
"2023-06-01 14:18:49",27.35
"2023-06-01 14:18:52",27.35
"2023-06-01 14:18:58",27.35
"2023-06-01 14:19:01",27.35
"2023-06-01 14:19:07",27.35
"2023-06-01 14:19:13",27.35
"2023-06-01 14:19:16",27.35
"2023-06-01 14:19:22",27.35
"2023-06-01 14:19:28",27.35
"2023-06-01 14:19:31",27.35
"2023-06-01 14:19:37",27.35
"2023-06-01 14:19:43",27.35
"2023-06-01 14:19:46",27.35
"2023-06-01 14:19:52",27.35
"2023-06-01 14:19:58",27.35
"2023-06-01 14:20:01",27.35
"2023-06-01 14:20:07",27.35
"2023-06-01 14:20:13",27.35
"2023-06-01 14:20:16",27.35
"2023-06-01 14:20:22",27.35
"2023-06-01 14:20:28",27.35
"2023-06-01 14:20:31",27.35
"2023-06-01 14:20:37",27.35
"2023-06-01 14:20:43",27.35
"2023-06-01 14:20:46",27.35
"2023-06-01 14:20:52",27.35
"2023-06-01 14:20:58",27.35
"2023-06-01 14:21:01",27.35
"2023-06-01 14:21:07",27.35
"2023-06-01 14:21:13",27.35
"2023-06-01 14:21:16",27.35
"2023-06-01 14:21:22",27.35
"2023-06-01 14:21:29",27.35
"2023-06-01 14:21:32",27.35
"2023-06-01 14:21:38",27.35
"2023-06-01 14:21:44",27.35
"2023-06-01 14:21:47",27.35
"2023-06-01 14:21:53",27.35
"2023-06-01 14:21:59",27.35
"2023-06-01 14:22:02",27.35
"2023-06-01 14:22:08",27.35
"2023-06-01 14:22:14",27.35
"2023-06-01 14:22:17",27.35
"2023-06-01 14:22:23",27.35
"2023-06-01 14:22:29",27.35
"2023-06-01 14:22:32",27.35
"2023-06-01 14:22:38",27.35
"2023-06-01 14:22:44",27.34
"2023-06-01 14:22:47",27.35
"2023-06-01 14:22:53",27.35
"2023-06-01 14:22:59",27.34
"2023-06-01 14:23:02",27.35
"2023-06-01 14:23:08",27.35
"2023-06-01 14:23:14",27.35
"2023-06-01 14:23:17",27.35
"2023-06-01 14:23:23",27.35
"2023-06-01 14:23:29",27.35
"2023-06-01 14:23:32",27.35
"2023-06-01 14:23:38",27.35
"2023-06-01 14:23:44",27.34
"2023-06-01 14:23:47",27.35
"2023-06-01 14:23:53",27.35
"2023-06-01 14:23:59",27.34
"2023-06-01 14:24:02",27.34
"2023-06-01 14:24:08",27.35
"2023-06-01 14:24:14",27.35
"2023-06-01 14:24:17",27.35
"2023-06-01 14:24:23",27.34
"2023-06-01 14:24:29",27.34
"2023-06-01 14:24:32",27.35
"2023-06-01 14:24:38",27.35
"2023-06-01 14:24:44",27.34
"2023-06-01 14:24:47",27.34
"2023-06-01 14:24:53",27.34
"2023-06-01 14:24:59",27.34
"2023-06-01 14:25:02",27.35
"2023-06-01 14:25:08",27.34
"2023-06-01 14:25:14",27.35
"2023-06-01 14:25:17",27.34
"2023-06-01 14:25:23",27.34
"2023-06-01 14:25:29",27.35
"2023-06-01 14:25:32",27.35
"2023-06-01 14:25:38",27.34
"2023-06-01 14:25:44",27.35
"2023-06-01 14:25:47",27.34
"2023-06-01 14:25:53",27.34
"2023-06-01 14:25:59",27.34
"2023-06-01 14:26:02",27.34
"2023-06-01 14:26:08",27.34
"2023-06-01 14:26:14",27.34
"2023-06-01 14:26:17",27.35
"2023-06-01 14:26:23",27.34
"2023-06-01 14:26:29",27.34
"2023-06-01 14:26:32",27.34
"2023-06-01 14:26:38",27.34
"2023-06-01 14:26:44",27.34
"2023-06-01 14:26:47",27.34
"2023-06-01 14:26:53",27.34
"2023-06-01 14:26:59",27.34
"2023-06-01 14:27:02",27.34
"2023-06-01 14:27:08",27.34
"2023-06-01 14:27:14",27.34
"2023-06-01 14:27:17",27.34
"2023-06-01 14:27:23",27.34
"2023-06-01 14:27:29",27.35
"2023-06-01 14:27:32",27.34
"2023-06-01 14:27:38",27.34
"2023-06-01 14:27:44",27.34
"2023-06-01 14:27:47",27.34
"2023-06-01 14:27:53",27.34
"2023-06-01 14:27:59",27.34
"2023-06-01 14:28:02",27.34
"2023-06-01 14:28:08",27.34
"2023-06-01 14:28:14",27.34
"2023-06-01 14:28:17",27.34
"2023-06-01 14:28:23",27.34
"2023-06-01 14:28:29",27.34
"2023-06-01 14:28:32",27.34
"2023-06-01 14:28:38",27.34
"2023-06-01 14:28:41",27.34
"2023-06-01 14:28:47",27.33
"2023-06-01 14:28:53",27.33
"2023-06-01 14:28:59",27.33
"2023-06-01 14:29:02",27.33
"2023-06-01 14:29:08",27.33
"2023-06-01 14:29:14",27.33
"2023-06-01 14:29:17",27.33
"2023-06-01 14:29:23",27.34
"2023-06-01 14:29:29",27.34
"2023-06-01 14:29:32",27.34
"2023-06-01 14:29:38",27.34
"2023-06-01 14:29:41",27.34
"2023-06-01 14:29:47",27.33
"2023-06-01 14:29:53",27.34
"2023-06-01 14:29:56",27.33
"2023-06-01 14:30:02",27.34
"2023-06-01 14:30:08",27.34
"2023-06-01 14:30:11",27.34
"2023-06-01 14:30:17",27.34
"2023-06-01 14:30:23",27.33
"2023-06-01 14:30:26",27.33
"2023-06-01 14:30:32",27.34
"2023-06-01 14:30:38",27.34
"2023-06-01 14:30:41",27.33
"2023-06-01 14:30:47",27.34
"2023-06-01 14:30:53",27.34
"2023-06-01 14:30:56",27.34
"2023-06-01 14:31:02",27.34
"2023-06-01 14:31:08",27.34
"2023-06-01 14:31:11",27.33
"2023-06-01 14:31:17",27.33
"2023-06-01 14:31:23",27.34
"2023-06-01 14:31:26",27.33
"2023-06-01 14:31:33",27.33
"2023-06-01 14:31:39",27.33
"2023-06-01 14:31:42",27.33
"2023-06-01 14:31:48",27.34
"2023-06-01 14:31:54",27.34
"2023-06-01 14:31:57",27.33
"2023-06-01 14:32:03",27.33
"2023-06-01 14:32:09",27.34
"2023-06-01 14:32:12",27.33
"2023-06-01 14:32:18",27.33
"2023-06-01 14:32:24",27.33
"2023-06-01 14:32:27",27.33
"2023-06-01 14:32:33",27.33
"2023-06-01 14:32:42",27.33
"2023-06-01 14:32:48",27.33
"2023-06-01 14:32:54",27.33
"2023-06-01 14:32:57",27.33
"2023-06-01 14:33:03",27.33
"2023-06-01 14:33:09",27.33
"2023-06-01 14:33:12",27.33
"2023-06-01 14:33:18",27.33
"2023-06-01 14:33:24",27.33
"2023-06-01 14:33:27",27.33
"2023-06-01 14:33:33",27.33
"2023-06-01 14:33:39",27.33
"2023-06-01 14:33:42",27.33
"2023-06-01 14:33:48",27.33
"2023-06-01 14:33:54",27.33
"2023-06-01 14:33:57",27.33
"2023-06-01 14:34:03",27.33
"2023-06-01 14:34:09",27.33
"2023-06-01 14:34:12",27.32
"2023-06-01 14:34:18",27.33
"2023-06-01 14:34:24",27.33
"2023-06-01 14:34:27",27.33
"2023-06-01 14:34:33",27.33
"2023-06-01 14:34:39",27.33
"2023-06-01 14:34:42",27.33
"2023-06-01 14:34:48",27.33
"2023-06-01 14:34:54",27.33
"2023-06-01 14:34:57",27.34
"2023-06-01 14:35:03",27.33
"2023-06-01 14:35:09",27.33
"2023-06-01 14:35:12",27.33
"2023-06-01 14:35:18",27.33
"2023-06-01 14:35:24",27.33
"2023-06-01 14:35:27",27.33
"2023-06-01 14:35:33",27.33
"2023-06-01 14:35:39",27.32
